Date,SCFI_Index,Europe_Base_Price
2018-01-05,816.58,888
2018-01-12,839.72,897
2018-01-19,840.36,891
2018-01-26,858.6,907
2018-02-02,883.59,912
2018-02-09,871.76,914
2018-02-14,867.16,905
2018-02-23,854.19,916
2018-03-02,772.45,827
2018-03-09,729.49,791
2018-03-16,675.46,741
2018-03-23,646.59,704
2018-03-30,658.68,633
2018-04-04,654.17,617
2018-04-13,659.74,585
2018-04-20,674.58,584
2018-04-27,760.67,774
2018-05-04,776.88,788
2018-05-11,778.83,811
2018-05-18,753.83,793
2018-05-25,764.34,825
2018-06-01,829.09,876
2018-06-08,806.04,870
2018-06-15,777.7,862
2018-06-22,751.13,834
2018-06-29,821.18,885
2018-07-06,817.4,881
2018-07-13,825.57,882
2018-07-20,793.76,863
2018-07-27,863.59,926
2018-08-03,890.52,935
2018-08-10,893.88,948
2018-08-17,891.83,928
2018-08-24,901.66,959
2018-08-31,939.48,933
2018-09-07,921.36,885
2018-09-14,909.74,821
2018-09-21,890.21,766
2018-09-28,870.58,735
2018-10-12,904.51,731
2018-10-19,926.25,727
2018-10-26,956.63,761
2018-11-02,976.52,752
2018-11-09,961.88,753
2018-11-16,951.57,735
2018-11-23,903.9,738
2018-11-30,890.41,747
2018-12-07,861.55,774
2018-12-14,848.65,832
2018-12-21,833.85,872
2018-12-28,910.81,996
2019-01-04,940.86,996
2019-01-11,940.08,979
2019-01-18,968.07,970
2019-01-25,945.44,960
2019-02-01,934.44,960
2019-02-15,888.29,906
2019-02-22,847.75,831
2019-03-01,803.71,796
2019-03-08,766.92,754
2019-03-15,742.1,714
2019-03-22,727.88,684
2019-03-29,793.49,651
2019-04-04,792.25,658
2019-04-12,782.46,640
2019-04-19,761.74,638
2019-04-26,778.0,717
2019-05-10,756.88,768
2019-05-17,726.23,723
2019-05-24,723.93,743
2019-05-31,782.12,780
2019-06-06,783.05,779
2019-06-14,779.12,745
2019-06-21,764.46,716
2019-06-28,829.7,701
2019-07-05,810.91,688
2019-07-12,817.41,676
2019-07-19,790.77,672
2019-07-26,788.93,754
2019-08-02,830.94,806
2019-08-09,822.09,810
2019-08-16,803.82,812
2019-08-23,774.62,793
2019-08-30,819.65,757
2019-09-06,795.05,710
2019-09-12,765.79,674
2019-09-20,734.09,639
2019-09-27,722.9,593
2019-10-11,715.97,581
2019-10-18,746.63,580
2019-10-25,774.27,594
2019-11-01,847.11,707
2019-11-08,837.99,729
2019-11-15,797.78,708
2019-11-22,765.47,702
2019-11-29,819.63,766
2019-12-06,850.27,800
2019-12-13,880.44,893
2019-12-20,904.83,944
2019-12-27,958.57,1027
2020-01-03,1022.72,1124
2020-01-10,1002.58,1058
2020-01-17,990.68,1010
2020-01-23,981.19,969
2020-02-14,910.58,850
2020-02-21,887.72,834
2020-02-28,875.76,804
2020-03-06,871.16,830
2020-03-13,911.85,827
2020-03-20,898.05,797
2020-03-27,889.8,764
2020-04-03,890.37,750
2020-04-10,867.82,734
2020-04-17,829.29,725
2020-04-24,818.16,753
2020-04-30,852.27,739
2020-05-08,855.07,744
2020-05-15,854.08,831
2020-05-22,847.63,827
2020-05-29,920.38,863
2020-06-05,925.5,880
2020-06-12,1015.33,875
2020-06-19,988.82,886
2020-06-24,1001.33,890
2020-07-03,1055.13,907
2020-07-10,1033.58,920
2020-07-17,1035.61,907
2020-07-24,1022.03,896
2020-07-31,1103.47,901
2020-08-07,1107.39,910
2020-08-14,1167.91,916
2020-08-21,1183.7,937
2020-08-28,1263.26,1029
2020-09-04,1320.8,1042
2020-09-11,1355.04,1054
2020-09-18,1409.57,1082
2020-09-25,1421.75,1079
2020-09-30,1443.54,1168
2020-10-09,1438.22,1149
2020-10-16,1448.87,1084
2020-10-23,1469.03,1100
2020-10-30,1529.99,1140
2020-11-06,1664.56,1246
2020-11-13,1857.33,1508
2020-11-20,1938.32,1644
2020-11-27,2048.27,2091
2020-12-04,2129.26,2374
2020-12-11,2311.71,2948
2020-12-18,2411.82,3124
2020-12-25,2641.87,3797
2020-12-31,2783.03,4091
2021-01-08,2870.34,4452
2021-01-15,2885.0,4413
2021-01-22,2868.95,4394
2021-01-29,2861.69,4276
2021-02-05,2884.61,4324
2021-02-10,2825.75,4109
2021-02-19,2875.93,4281
2021-02-26,2775.29,4047
2021-03-05,2721.94,3966
2021-03-12,2637.53,3712
2021-03-19,2583.87,3665
2021-03-26,2570.68,3742
2021-04-02,2585.42,3651
2021-04-09,2652.12,3964
2021-04-16,2833.42,4187
2021-04-23,2979.76,4325
2021-04-30,3100.74,4630
2021-05-07,3095.16,4678
2021-05-14,3343.34,5438
2021-05-21,3432.5,5579
2021-05-28,3495.76,5816
2021-06-04,3613.07,5887
2021-06-11,3703.93,6355
2021-06-18,3748.36,6351
2021-06-25,3785.4,6479
2021-07-02,3905.14,6786
2021-07-09,3932.35,6741
2021-07-16,4054.42,7023
2021-07-23,4100.0,7127
2021-07-30,4196.24,7395
2021-08-06,4225.86,7418
2021-08-13,4281.53,7407
2021-08-20,4340.18,7398
2021-08-27,4385.62,7365
2021-09-03,4502.65,7443
2021-09-10,4568.16,7491
2021-09-17,4622.51,7524
2021-09-24,4643.79,7551
2021-09-30,4614.1,7538
2021-10-08,4647.6,7714
2021-10-15,4588.07,7687
2021-10-22,4583.39,7666
2021-10-29,4567.28,7693
2021-11-05,4535.92,7637
2021-11-12,4554.04,7560
2021-11-19,4555.21,7552
2021-11-26,4601.97,7549
2021-12-03,4727.06,7587
2021-12-10,4810.98,7597
2021-12-17,4894.62,7603
2021-12-24,4956.02,7671
2021-12-31,5046.66,7751
2022-01-07,5109.6,7777
2022-01-14,5094.36,7797
2022-01-21,5053.12,7783
2022-01-28,5010.36,7780
2022-02-11,4980.93,7677
2022-02-18,4946.01,7652
2022-02-25,4818.47,7519
2022-03-04,4746.98,7387
2022-03-11,4625.06,7019
2022-03-18,4540.31,6797
2022-03-25,4434.07,6593
2022-04-01,4348.71,6425
2022-04-08,4263.66,6157
2022-04-15,4228.65,6086
2022-04-22,4195.98,6016
2022-04-29,4177.3,5984
2022-05-06,4163.74,5955
2022-05-13,4147.83,5860
2022-05-20,4162.69,5862
2022-05-27,4175.35,5865
2022-06-02,4208.01,5855
2022-06-10,4233.31,5843
2022-06-17,4221.96,5793
2022-06-24,4216.13,5766
2022-07-01,4203.27,5731
2022-07-08,4143.87,5697
2022-07-15,4074.7,5612
2022-07-22,3996.77,5570
2022-07-29,3887.85,5416
2022-08-05,3739.72,5166
2022-08-12,3562.67,4971
2022-08-19,3429.83,4788
2022-08-26,3154.26,4441
2022-09-02,2847.62,4252
2022-09-09,2562.12,3877
2022-09-16,2312.65,3545
2022-09-23,2072.04,3163
2022-09-30,1922.95,2950
2022-10-14,1814.0,2581
2022-10-21,1778.69,2379
2022-10-28,1697.65,2102
2022-11-04,1579.21,1763
2022-11-11,1443.29,1478
2022-11-18,1306.84,1172
2022-11-25,1229.9,1100
2022-12-02,1171.36,1085
2022-12-09,1138.09,1047
2022-12-16,1123.29,1050
2022-12-23,1107.09,1049
2022-12-30,1107.55,1078
2023-01-06,1061.14,1050
2023-01-13,1031.42,1020
2023-01-20,1029.75,1014
2023-02-03,1006.89,961
2023-02-10,995.16,925
2023-02-17,974.66,910
2023-02-24,946.68,882
2023-03-03,931.08,865
2023-03-10,906.55,865
2023-03-17,909.72,878
2023-03-24,908.35,884
2023-03-31,923.78,863
2023-04-07,956.93,877
2023-04-14,1033.65,871
2023-04-21,1037.07,883
2023-04-28,999.73,881
2023-05-05,998.29,875
2023-05-12,983.41,870
2023-05-19,972.45,869
2023-05-26,983.46,859
2023-06-02,1028.7,846
2023-06-09,979.85,831
2023-06-16,934.31,808
2023-06-21,924.29,793
2023-06-30,953.6,763
2023-07-07,931.73,740
2023-07-14,979.11,738
2023-07-21,966.45,742
2023-07-28,1029.23,975
2023-08-04,1039.32,947
2023-08-11,1043.54,926
2023-08-18,1031.0,852
2023-08-25,1013.78,802
2023-09-01,1033.67,768
2023-09-08,999.25,714
2023-09-15,948.68,658
2023-09-22,911.71,623
2023-09-28,886.85,599
2023-10-13,891.55,562
2023-10-20,917.66,581
2023-10-27,1012.6,769
2023-11-03,1067.88,756
2023-11-10,1030.24,722
2023-11-17,999.92,707
2023-11-24,993.21,779
2023-12-01,1010.81,851
2023-12-08,1032.21,925
2023-12-15,1093.52,1029
2023-12-22,1254.99,1497
2023-12-29,1759.58,2694
2024-01-05,1896.65,2871
2024-01-12,2206.03,3103
2024-01-19,2239.61,3030
2024-01-26,2179.09,2861
2024-02-02,2217.73,2723
2024-02-09,2166.31,2648
2024-02-23,2109.91,2508
2024-03-01,1979.12,2277
2024-03-08,1885.74,2134
2024-03-15,1772.92,1971
2024-03-22,1732.57,1943
2024-03-29,1730.98,1994
2024-04-03,1745.43,1997
2024-04-12,1757.04,1971
2024-04-19,1769.54,1971
2024-04-26,1940.63,2300
2024-05-10,2305.79,2869
2024-05-17,2520.76,3050
2024-05-24,2703.43,3409
2024-05-31,3044.77,3740
2024-06-07,3184.87,3949
2024-06-14,3379.22,4179
2024-06-21,3475.6,4336
2024-06-28,3714.32,4880
2024-07-05,3733.8,4857
2024-07-12,3674.86,5051
2024-07-19,3542.44,5000
2024-07-26,3447.87,4991
2024-08-02,3332.67,4907
2024-08-09,3253.89,4786
2024-08-16,3281.36,4610
2024-08-23,3097.63,4400
2024-08-30,2963.38,3876
2024-09-06,2726.58,3459
2024-09-13,2510.95,2841
2024-09-20,2366.24,2592
2024-09-27,2135.08,2250
2024-10-11,2062.57,2040
2024-10-18,2062.15,1950
2024-10-25,2185.33,2226
2024-11-01,2303.44,2442
2024-11-08,2331.58,2541
2024-11-15,2251.9,2512
2024-11-22,2160.08,2481
2024-11-29,2233.83,3039
2024-12-06,2256.46,3030
2024-12-13,2384.4,2963
2024-12-20,2390.17,2946
2024-12-27,2460.34,2962
2025-01-03,2505.17,2851
2025-01-10,2290.68,2440
2025-01-17,2130.82,2279
2025-01-24,2045.45,2147
2025-02-07,1896.65,1805
2025-02-14,1758.82,1608
2025-02-21,1595.08,1578
2025-02-28,1515.29,1693
2025-03-07,1436.3,1582
2025-03-14,1319.34,1342
2025-03-21,1292.75,1306
2025-03-28,1356.88,1318
2025-04-03,1392.78,1336
2025-04-11,1394.68,1356
2025-04-18,1370.58,1316
2025-04-25,1347.84,1260
2025-04-30,1340.93,1200
2025-05-09,1345.17,1161
2025-05-16,1479.39,1154
2025-05-23,1586.12,1317
2025-05-30,2072.71,1587
2025-06-06,2240.35,1667
2025-06-13,2088.24,1844
2025-06-20,1869.59,1835
2025-06-27,1861.51,2030
2025-07-04,1763.49,2101
2025-07-11,1733.29,2099
2025-07-18,1646.9,2079
2025-07-25,1592.59,2090
2025-08-01,1550.74,2051
2025-08-08,1489.68,1961
2025-08-15,1460.19,1820
2025-08-22,1415.36,1668
